47|PT1100005-1|10.9400
48|PT1100005-1|10.9400
49|PT1100005-1|10.9400
50|PT1100005-1|10.9400
52|PT1100005-1|10.9400
53|PT1100005-1|10.9400
55|PT1100005-1|10.9400
104|PT1100005-1|10.9400
105|PT1100005-1|10.9400
107|PT1100005-1|10.9400
34|PT1100006-1|0.0000
34|PT1100006-1|0.0000
45|PT1100006-1|10.9400
45|PT1100006-1|10.9400
47|PT1100006-1|10.9400
48|PT1100006-1|10.9400
49|PT1100006-1|10.9400
50|PT1100006-1|10.9400
52|PT1100006-1|10.9400
53|PT1100006-1|10.9400
55|PT1100006-1|10.9400
104|PT1100006-1|10.9400
105|PT1100006-1|10.9400
107|PT1100006-1|10.9400
34|PT1100007-1|0.0000
34|PT1100007-1|0.0000
45|PT1100007-1|10.9400
45|PT1100007-1|10.9400
47|PT1100007-1|10.9400
48|PT1100007-1|10.9400
49|PT1100007-1|10.9400
50|PT1100007-1|10.9400
52|PT1100007-1|10.9400
53|PT1100007-1|10.9400
55|PT1100007-1|10.9400
104|PT1100007-1|10.9400
105|PT1100007-1|10.9400
107|PT1100007-1|10.9400
34|PT1100008-1|0.0000
34|PT1100008-1|0.0000
45|PT1100008-1|10.9400
45|PT1100008-1|10.9400
47|PT1100008-1|10.9400
48|PT1100008-1|10.9400
49|PT1100008-1|10.9400
50|PT1100008-1|10.9400
52|PT1100008-1|10.9400
53|PT1100008-1|10.9400
55|PT1100008-1|10.9400
104|PT1100008-1|10.9400
105|PT1100008-1|10.9400
107|PT1100008-1|10.9400
34|PT1102001-1|0.0000
34|PT1102001-1|0.0000
45|PT1102001-1|12.8800
45|PT1102001-1|12.8800
47|PT1102001-1|12.8800
48|PT1102001-1|12.8800
49|PT1102001-1|12.8800
50|PT1102001-1|12.8800
52|PT1102001-1|12.8800
53|PT1102001-1|12.8800
55|PT1102001-1|12.8800
104|PT1102001-1|12.8800
105|PT1102001-1|12.8800
107|PT1102001-1|12.8800
34|PT1103001-1|0.0000
34|PT1103001-1|0.0000
45|PT1103001-1|10.9400
45|PT1103001-1|10.9400
47|PT1103001-1|10.9400
48|PT1103001-1|10.9400
49|PT1103001-1|10.9400
50|PT1103001-1|10.9400
52|PT1103001-1|10.9400
53|PT1103001-1|10.9400
55|PT1103001-1|10.9400
104|PT1103001-1|10.9400
105|PT1103001-1|10.9400
107|PT1103001-1|10.9400
34|PT1200001-1|0.0000
34|PT1200001-1|0.0000
45|PT1200001-1|13.3600
45|PT1200001-1|13.3600
47|PT1200001-1|13.3600
48|PT1200001-1|13.3600
49|PT1200001-1|13.3600
50|PT1200001-1|13.3600
52|PT1200001-1|13.3600
53|PT1200001-1|13.3600
55|PT1200001-1|13.3600
104|PT1200001-1|13.3600
105|PT1200001-1|13.3600
107|PT1200001-1|13.3600
34|PT1200002-1|0.0000
34|PT1200002-1|0.0000
45|PT1200002-1|13.3600
45|PT1200002-1|13.3600
47|PT1200002-1|13.3600
48|PT1200002-1|13.3600
49|PT1200002-1|13.3600
50|PT1200002-1|13.3600
52|PT1200002-1|13.3600
53|PT1200002-1|13.3600
55|PT1200002-1|13.3600
104|PT1200002-1|13.3600
105|PT1200002-1|13.3600
107|PT1200002-1|13.3600
34|PT1200003-1|0.0000
34|PT1200003-1|0.0000
45|PT1200003-1|13.3600
45|PT1200003-1|13.3600
47|PT1200003-1|13.3600
48|PT1200003-1|13.3600
49|PT1200003-1|13.3600
50|PT1200003-1|13.3600
52|PT1200003-1|13.3600
53|PT1200003-1|13.3600
55|PT1200003-1|13.3600
104|PT1200003-1|13.3600
105|PT1200003-1|13.3600
107|PT1200003-1|13.3600
34|PT1200004-1|0.0000
34|PT1200004-1|0.0000
45|PT1200004-1|13.3600
45|PT1200004-1|13.3600
47|PT1200004-1|13.3600
48|PT1200004-1|13.3600
49|PT1200004-1|13.3600
50|PT1200004-1|13.3600
52|PT1200004-1|13.3600
53|PT1200004-1|13.3600
55|PT1200004-1|13.3600
104|PT1200004-1|13.3600
105|PT1200004-1|13.3600
107|PT1200004-1|13.3600
34|PT1200005-1|0.0000
34|PT1200005-1|0.0000
45|PT1200005-1|13.3600
