PT4300006-1|1|DULCE DE LECHE  kg|1000305|0.0000|0.00000|0.0000|1000305|16.00000|0.00000
PT1600003-1|1|NECTAR DE PERA TCA 150 cm3 x 24|1000305|1807.0000|0.00000|0.0000|1000305|16.00000|3.74000
PT1000007-1|1|NECTAR DE GUAYABA ALUMINIO 340 cm3 x 24|1000305|266.5800|0.00000|0.0000|1000305|16.00000|9.20000
PT1400004-1|1|NARANJADA TBA 500 cm3 x 12|1000305|0.0000|0.00000|0.0000|1000305|16.00000|6.70000
PT1900010-1|1|TE NEGRO DE LIMON PET 500 cm3 x 12|1000305|2859.0000|0.00000|0.0000|1000305|16.00000|0.00000
PT1300001-1|1|NECTAR DE DURAZNO TBA 1000 cm3 x 12|1000305|20642.0900|0.00000|0.0000|1000305|16.00000|13.31000
PT1200004-1|1|NARANJADA VIDRIO 1000 cm3 x 12|1000305|5000.0000|0.00000|0.0000|1000305|16.00000|18.36000
PT4000002-1|1|LECHE CONDENSADA AZUCARADA TUBO 50 g x 24 x 6|1000305|743.0600|0.00000|0.0000|1000305|16.00000|9.00000
PT3100002-1|1|COLADO DE MANZANA 186 g x 24|1000305|3794.4200|0.00000|0.0000|1000305|16.00000|7.84000
PT1501001-1|1|NECTAR DE DURAZNO SIN AZUCAR AÑADIDA TPA 250 cm3 x 24|1000305|195.0000|0.00000|0.0000|1000305|16.00000|6.92000
PT4500001-1|1|LECHE CONDENSADA SEMIDESCREMADA MAITA LATA 390 g x 24|1000305|72.0000|0.00000|0.0000|1000305|16.00000|10.70000
PT4000004-1|1|LECHE CONDENSADA AZUCARADA TETRA 100 g x 24|1000305|-16.0000|0.00000|40.0000|1000305|16.00000|2.70000
PT1100007-1|1|NECTAR DE GUAYABA VIDRIO 250 cm3 x 24|1000305|13.0000|0.00000|0.0000|1000305|16.00000|10.97000
PT1900001-1|1|NECTAR DE DURAZNO PET 500 cm3 x 12|1000305|568.0000|0.00000|0.0000|1000305|16.00000|0.00000
PT3400003-1|1|COLADO PERA TCA 160 g x 24 (THREE PACK)|1000305|1175.1300|0.00000|0.0000|1000305|16.00000|4.87000
