1007399|1025286-1|2024-05-13|7.53|0.00|7.53|FACT|wRivas|1000000|USD|1|2024-05-13|7.5286|39.22
1007358|1025208-1|2024-05-13|0.24|0.00|0.24|FACT|wRivas|1000000|USD|1|2024-05-13|0.2381|39.22
1007359|1025209-1|2024-05-13|1.80|0.00|1.80|FACT|wRivas|1000000|USD|1|2024-05-13|1.8027|39.22
1007404|1025287-1|2024-05-13|98.33|0.00|98.33|FACT|wRivas|1000000|USD|1|2024-05-13|98.3304|39.22
1007407|1025288-1|2024-05-13|5.16|0.00|5.16|FACT|wRivas|1000000|USD|1|2024-05-13|5.1560|39.22
1007359|1025210-1|2024-05-13|0.96|0.00|0.96|FACT|wRivas|1000000|USD|1|2024-05-13|0.9592|39.22
1007407|1025289-1|2024-05-13|0.97|0.00|0.97|FACT|wRivas|1000000|USD|1|2024-05-13|0.9702|39.22
1007362|1025212-1|2024-05-13|0.12|0.00|0.12|FACT|wRivas|1000000|USD|1|2024-05-13|0.1168|39.22
1007362|1025213-1|2024-05-13|0.07|0.00|0.07|FACT|wRivas|1000000|USD|1|2024-05-13|0.0691|39.22
1007362|1025214-1|2024-05-13|0.04|0.00|0.04|FACT|wRivas|1000000|USD|1|2024-05-13|0.0354|39.22
1007362|1025215-1|2024-05-13|0.05|0.00|0.05|FACT|wRivas|1000000|USD|1|2024-05-13|0.0490|39.22
1007362|1025216-1|2024-05-13|0.03|0.00|0.03|FACT|wRivas|1000000|USD|1|2024-05-13|0.0291|39.22
1007427|1025294-1|2024-05-13|0.21|0.00|0.21|FACT|wRivas|1000000|USD|1|2024-05-13|0.2096|39.22
1007363|1025217-1|2024-05-13|0.52|0.00|0.52|FACT|wRivas|1000000|USD|1|2024-05-13|0.5232|39.22
1007363|1025218-1|2024-05-13|0.74|0.00|0.74|FACT|wRivas|1000000|USD|1|2024-05-13|0.7404|39.22
1007427|1025295-1|2024-05-13|5.37|0.00|5.37|FACT|wRivas|1000000|USD|1|2024-05-13|5.3748|39.22
1007427|1025296-1|2024-05-13|17.01|0.00|17.01|FACT|wRivas|1000000|USD|1|2024-05-13|17.0135|39.22
1007363|1025219-1|2024-05-13|0.18|0.00|0.18|FACT|wRivas|1000000|USD|1|2024-05-13|0.1772|39.22
1007363|1025220-1|2024-05-13|0.13|0.00|0.13|FACT|wRivas|1000000|USD|1|2024-05-13|0.1313|39.22
1007427|1025297-1|2024-05-13|8.76|0.00|8.76|FACT|wRivas|1000000|USD|1|2024-05-13|8.7585|39.22
1007369|1025221-1|2024-05-13|0.19|0.00|0.19|FACT|wRivas|1000000|USD|1|2024-05-13|0.1930|39.22
1007427|1025298-1|2024-05-13|16.95|0.00|16.95|FACT|wRivas|1000000|USD|1|2024-05-13|16.9521|39.22
1007369|1025222-1|2024-05-13|0.01|0.00|0.01|FACT|wRivas|1000000|USD|1|2024-05-13|0.0148|39.22
1007427|1025299-1|2024-05-13|12.93|0.00|12.93|FACT|wRivas|1000000|USD|1|2024-05-13|12.9322|39.22
1007369|1025223-1|2024-05-13|0.11|0.00|0.11|FACT|wRivas|1000000|USD|1|2024-05-13|0.1132|39.22
1007427|1025300-1|2024-05-13|19.18|0.00|19.18|FACT|wRivas|1000000|USD|1|2024-05-13|19.1785|39.22
1007369|1025224-1|2024-05-13|0.01|0.00|0.01|FACT|wRivas|1000000|USD|1|2024-05-13|0.0074|39.22
1007369|1025225-1|2024-05-13|0.28|0.00|0.28|FACT|wRivas|1000000|USD|1|2024-05-13|0.2779|39.22
1007369|1025226-1|2024-05-13|0.26|0.00|0.26|FACT|wRivas|1000000|USD|1|2024-05-13|0.2588|39.22
1007434|1025303-1|2024-05-13|0.15|0.00|0.15|FACT|wRivas|1000000|USD|1|2024-05-13|0.1466|39.22
1007369|1025227-1|2024-05-13|3.28|0.00|3.28|FACT|wRivas|1000000|USD|1|2024-05-13|3.2823|39.22
1007369|1025228-1|2024-05-13|0.72|0.00|0.72|FACT|wRivas|1000000|USD|1|2024-05-13|0.7172|39.22
1007434|1025304-1|2024-05-13|0.52|0.00|0.52|FACT|wRivas|1000000|USD|1|2024-05-13|0.5232|39.22
1007370|1025229-1|2024-05-13|8.53|0.00|8.53|FACT|wRivas|1000000|USD|1|2024-05-13|8.5334|39.22
1007434|1025305-1|2024-05-13|0.25|0.00|0.25|FACT|wRivas|1000000|USD|1|2024-05-13|0.2450|39.22
1007370|1025230-1|2024-05-13|1.52|0.00|1.52|FACT|wRivas|1000000|USD|1|2024-05-13|1.5158|39.22
1007434|1025306-1|2024-05-13|0.18|0.00|0.18|FACT|wRivas|1000000|USD|1|2024-05-13|0.1798|39.22
1007370|1025231-1|2024-05-13|1.89|0.00|1.89|FACT|wRivas|1000000|USD|1|2024-05-13|1.8876|39.22
1007436|1025307-1|2024-05-13|11.39|0.00|11.39|FACT|wRivas|1000000|USD|1|2024-05-13|11.3891|39.22
1007370|1025232-1|2024-05-13|0.42|0.00|0.42|FACT|wRivas|1000000|USD|1|2024-05-13|0.4192|39.22
1007438|1025308-1|2024-05-13|11.14|0.00|11.14|FACT|wRivas|1000000|USD|1|2024-05-13|11.1441|39.22
